German,English
ich ,I
sie ,she
das ,the
ist ,is
du ,you
nicht ,not
die ,the
es ,it
und ,and
der ,the
wir ,we
was ,What
zu ,to
er ,he
ein ,a
in ,in
ja ,Yes
mir ,me
mit ,with
wie ,How
den ,the
mich ,me
auf ,on
dass ,that
aber ,but
eine ,one
so ,so
hat ,has
hier ,here
haben ,have
für ,for
sind ,are
war ,was
von ,from
wenn ,if
dich ,you
ihr ,her
nein ,no
habe ,have
an ,at
bin ,am
noch ,still
nur ,only
da ,there
dir ,you
sich ,itself
einen ,a
uns ,us
hast ,have
dem ,dem
kann ,can
gut ,good
auch ,also
schon ,already
als ,as
sein ,be
mal ,just
jetzt ,now
ihn ,him
dann ,then
aus ,out of
meine ,mine
um ,around
im ,in the
wird ,becomes
mein ,my
bist ,are
doch ,but
alles ,everything
weiß ,white
keine ,no
oder ,or
nach ,after
s ,S
nichts ,nothing
man ,man
muss ,must
werden ,become
will ,want
ihnen ,them
geht ,goes
wo ,where
etwas ,something
oh ,Oh
mehr ,more
bei ,at
also ,so
bitte ,please
immer ,always
hab ,have
warum ,Why
vor ,before
los ,Come on
können ,can
wieder ,again
sagen ,say
machen ,make
danke ,Thanks
sehr ,very
alle ,all
denn ,because
mann ,man
tun ,do
ihm ,him
zum ,for the
gehen ,go
sehen ,see
vielleicht ,perhaps
einem ,a
wer ,who
ihre ,her
diese ,this
euch ,you
einer ,one
komm ,come
über ,above
gibt ,gives
okay ,OK
wissen ,knowledge
deine ,your
müssen ,must
soll ,should
werde ,become
nie ,never
wirklich ,really
hey ,hey
kein ,no
viel ,much
weg ,away
würde ,would
tut ,does
am ,at the
des ,of
einfach ,simply
leben ,life
hatte ,had
zeit ,time
weil ,because
willst ,want
kommen ,come
dein ,your
heute ,today
kommt ,comes
wollen ,want
damit ,with it
ganz ,quite
wäre ,were
wollte ,wanted
weißt ,white
ok ,OK
sicher ,secure
gesagt ,said
frau ,woman
nun ,so
bis ,until
wurde ,became
leid ,sorrow
na ,n/a
kannst ,can
macht ,might
dieser ,this
zurück ,back
lassen ,let
hallo ,Hello
meinen ,mean
gott ,God
seine ,his
hätte ,would have
zwei ,two
könnte ,could
genau ,Exactly
waren ,were
zur ,to
lass ,let
klar ,clear
morgen ,morning
leute ,people
vater ,father
schön ,nice
glaube ,believe
mr. ,mr.
ab ,away
gerade ,straight
tag ,Day
gesehen ,seen
reden ,talk
wohl ,probably
liebe ,love
sollte ,should
sagte ,said
unsere ,our
jemand ,someone
geld ,money
durch ,through
ob ,if
keinen ,no
mutter ,mother
raus ,out
gemacht ,made
paar ,couple
mach ,make
passiert ,happened
dachte ,thought
besser ,better
musst ,must
wieso ,how come
sir ,sir
dieses ,this
selbst ,himself
gehört ,heard
möchte ,want
ohne ,without
hör ,listening
her ,from
sag ,say
meiner ,mine
anderen ,others
helfen ,help
nacht ,night
finden ,find
diesen ,this
gute ,good
wirst ,become
lange ,long
natürlich ,naturally
ach ,Oh
meinem ,my
gar ,even
ins ,into the
sei ,be
dort ,there
weiter ,further
geben ,give
seit ,since
gleich ,even
sagt ,says
recht ,right
ihren ,your
richtig ,correct
ordnung ,order
vom ,from the
hören ,hear
sieht ,sees
davon ,of that
dafür ,for that
geh ,walk
diesem ,this
wegen ,because of
hause ,home
sollten ,should
mädchen ,girl
hin ,there
sollen ,should
abend ,evening
haus ,a house
denke ,think
viele ,many
drei ,three
deinen ,yours
freund ,friend
guten ,good
unser ,our
warte ,wait
machst ,do
menschen ,people
essen ,eat
angst ,fear
bleiben ,remain
zusammen ,together
welt ,world
unter ,under
habt ,have
schnell ,fast
andere ,other
tot ,dead
getan ,did
darf ,may
erst ,first
rein ,pure
stimmt ,true
nehmen ,take
kinder ,children
eines ,one
glauben ,believe
bringen ,bring
ganze ,whole
genug ,enough
scheiße ,Fuck
brauchen ,need
gegen ,against
moment ,moment
junge ,boy
steht ,stands
sonst ,otherwise
musik ,music
arbeit ,work
seid ,are
ihrer ,of their
fragen ,questions
herr ,Mr
dabei ,included
heißt ,is called
familie ,family
warten ,wait
niemand ,no one
sofort ,immediately
bevor ,before
jahre ,years
einmal ,once
problem ,problem
sohn ,son
wann ,When
brauche ,need
fertig ,complete
halt ,stop
allein ,alone
beim ,at the
sprechen ,speak
beide ,both
gefunden ,found
hatten ,had
sache ,matter
hilfe ,help
verdammt ,damned
ne ,ne
jeder ,everyone
warst ,beings
gern ,gladly
konnte ,could
darüber ,about it
halten ,hold
siehst ,see
verstehe ,understand
jahren ,years
kam ,came
kind ,child
wusste ,knew
wahr ,true
seinen ,his
dazu ,in addition
bruder ,brother
daran ,to it
ihrem ,hers
denken ,think
könnten ,might
dank ,thanks to
würden ,would
lieber ,Dear
fall ,case
deiner ,yours
sehe ,see
egal ,doesn't matter
kennen ,know
deinem ,yours
vergessen ,forget
frage ,ask
mache ,make
komme ,come
sage ,legend
mag ,like
sieh ,see
echt ,Really
gib ,give
eigentlich ,actually
jeden ,every
dad ,dad
gab ,gave
uhr ,clock
stadt ,city
männer ,men
baby ,infant
fahren ,drive
namen ,names
bekommen ,receive
kopf ,head
hi ,Hi
gehe ,go
kleine ,small
später ,later
glück ,happiness
letzte ,last
freunde ,friends
n ,n
all ,Alles
darauf ,on it
ende ,end
dr. ,Dr.
bald ,soon
töten ,kill
dinge ,things
meinst ,mean
toll ,Great
eins ,one
minuten ,minute
vielen ,many
bereit ,ready
weit ,far
ahnung ,idea
seiner ,his
bisschen ,a little
tür ,door
auto ,automobile
jungs ,guys
eure ,your
augen ,eyes
polizei ,police
stehen ,stand
sterben ,die
hätten ,have
draußen ,outside
kenne ,know
fast ,nearly
runter ,down
vorbei ,over
treffen ,meet
gerne ,gladly
dran ,your turn
wurden ,became
arbeiten ,work
mom ,mom
verrückt ,crazy
neue ,new
ging ,went
hinter ,behind
sorgen ,care for
einzige ,only
jemanden ,someone
darum ,therefore
tochter ,daughter
braucht ,needs
idee ,idea
schwester ,sister
drin ,in it
ruhig ,quiet
sah ,saw
ganzen ,entire
spät ,late
ziemlich ,quite
solltest ,should
name ,Surname
sogar ,even
kurz ,short
kerl ,Guy
frauen ,women
liegt ,lies
suchen ,seek
finde ,find
je ,ever
woher ,from where
lang ,long
job ,job
keiner ,none
seinem ,his
hört ,hear
verstehen ,understand
spielen ,play
s. ,s.
überhaupt ,at all
teufel ,devil
verstanden ,understood
verloren ,lost
große ,size
hand ,hand
grund ,reason
jahr ,year
kommst ,come
mama ,mummy
ruhe ,quiet
gewesen ,been
tod ,death
stunden ,hours
hoffe ,hope
denkst ,thinking
oben ,above
gestern ,yesterday
versuchen ,attempt
art ,kind
letzten ,last
schatz ,treasure
endlich ,finally
he ,hey
nimm ,take
etwa ,approximately
erzählt ,told
läuft ,running
schwer ,difficult
anders ,different
miss ,miss
musste ,had to
fünf ,five
wasser ,water
lässt ,leaves
erste ,first
versucht ,tried
gekommen ,came
geschichte ,story
wenig ,few
holen ,fetch
bedeutet ,means
nett ,kind
wahrheit ,truth
woche ,week
bringt ,brings
deshalb ,for this reason
welche ,which
bestimmt ,certainly
hoch ,high
alter ,age
sagst ,say
schau ,look
ah ,uh
land ,country
zimmer ,room
wagen ,dare
vier ,four
gefallen ,fallen
spaß ,fun
niemals ,never
schuld ,fault
getötet ,killed
wollten ,wanted to
verlassen ,leave
zeigen ,show
beste ,best
ernst ,serious
unserer ,ours
denen ,whom
ort ,location
bleibt ,remains
würdest ,would
manchmal ,sometimes
glaubst ,believe
seite ,page
lasst ,leaves
zwischen ,between
eben ,even
während ,while
spiel ,game
nehme ,take
ersten ,first
guter ,goods
chance ,chance
freundin ,girlfriend
krieg ,war
gefällt ,pleases
kleinen ,small
erzählen ,tell
anderes ,other
tage ,days
entschuldigen ,excuse
wichtig ,important
gehst ,walking
allen ,all
bett ,bed
mrs. ,Mrs.
sachen ,things
the ,the
schlecht ,bad
schule ,school
entschuldigung ,excuse
wort ,word
john ,John
hättest ,would have
wären ,be
typ ,Type
schlafen ,sleep
äh ,uh
tu ,tu
euer ,your
captain ,captain
gesicht ,face
falls ,if
neuen ,new
bloß ,just
unten ,below
teil ,part
beiden ,both
mensch ,person
kleiner ,smaller
stellen ,place
oft ,often
sorge ,worries
gedacht ,thought
tust ,tust
trinken ,drink
einige ,some
dies ,this
ding ,thing
unseren ,ours
kriegen ,get
blut ,blood
ehrlich ,honest
eltern ,parents
scheint ,appears
herz ,heart
jack ,Jack
glücklich ,happy
alte ,old
alt ,old
bleib ,stay
wiedersehen ,reunite
frei ,free
wen ,whom
drauf ,on it
möglich ,possible
irgendwie ,somehow
reicht ,suffices
fest ,firmly
besten ,best
waffe ,weapon
kaum ,barely
irgendwas ,anything
klingt ,sounds
platz ,place
brauchst ,needs
rede ,speech
papa ,father
falsch ,incorrect
sondern ,rather
alten ,old
nummer ,number
früher ,earlier
jungen ,boys
wohin ,where
außer ,except
früh ,early
setzen ,set
zuerst ,first
wahrscheinlich ,probably
dürfen ,may
jede ,every
arsch ,ass
telefon ,phone
tue ,do
kennst ,know
willkommen ,welcome
plan ,plan
großen ,huge
retten ,rescue
hierher ,here
wär ,would be
bring ,bring
fehler ,mistake
wollt ,want
dollar ,dollar
zehn ,ten
allem ,all
pass ,passport
nächste ,next
stunde ,hour
hände ,hands
gegeben ,given
menge ,crowd
langsam ,slow
bereits ,already
wartet ,waiting
sechs ,six
lieben ,love
meines ,mine
büro ,office
nächsten ,next
gebe ,gift
wochen ,weeks
ruf ,call
schaffen ,create
leider ,unfortunately
scheiß ,shit
hölle ,hell
trotzdem ,despite it
doktor ,doctor
tja ,well
new ,new
voll ,full
film ,Movie
überall ,everywhere
hund ,dog
geworden ,become
direkt ,direct
wolltest ,wanted
tat ,did
denkt ,thinks
schiff ,ship
neues ,new
wem ,whom
könig ,king
danach ,thereafter
funktioniert ,functions
hattest ,hate
lernen ,learn
deswegen ,because of this
wow ,Wow
nennen ,to name
hm ,Hm
feuer ,fire
laufen ,run
alleine ,alone
erinnern ,remember
völlig ,fully
kleines ,small
könnt ,can
stelle ,Job
kumpel ,Dude
verlieren ,lose
probleme ,problems
spricht ,speaks
kaffee ,coffee
luft ,air
fand ,found
i ,I
entschuldige ,sorry
ziehen ,pull
verschwinden ,disappear
könntest ,might
seht ,look
aufhören ,stop
eigenen ,own
richtige ,right one
unserem ,ours
suche ,search
zwar ,that is
groß ,large
hol ,brow
buch ,book
krank ,sick
fühle ,feel
jedes ,every
verstehst ,understand
wert ,value
arzt ,physician
froh ,glad
versuche ,try
straße ,street
rufen ,call
heiraten ,marry
super ,Excellent
sam ,sam
lebt ,lives
gutes ,good
lasse ,let
onkel ,uncle
total ,total
gebracht ,brought
party ,party
erklären ,explain
spielt ,plays
wahl ,choice
vertrauen ,trust
damals ,at that time
tagen ,days
leicht ,light
nachdem ,after
gegangen ,gone
gefühl ,feeling
kaufen ,buy
geschafft ,done
typen ,guy
interessiert ,interested
möchten ,want
halte ,hold
hält ,holds
glaub ,belief
irgendwo ,somewhere
stück ,piece
genauso ,just as
kennt ,knows
genommen ,taken
zukunft ,future
weniger ,fewer
cool ,cool
licht ,light
getroffen ,met
himmel ,heaven
nachricht ,news
drüben ,over there
passt ,fits
sagten ,said
kümmern ,take care
laut ,loud
vergiss ,forgetful
angerufen ,called
sitzen ,sit
daß ,that
erde ,earth
großer ,greater
schlüssel ,key
rest ,rest
passieren ,happen
eher ,rather
gefragt ,asked
gefängnis ,jail
opfer ,victim
körper ,body
solche ,such
mist ,damn
mr ,mr
findet ,find
schreiben ,write
böse ,evil
gesprochen ,spoken
versuch ,attempt
vorstellen ,introduce
wovon ,About what
sobald ,as soon as
nochmal ,again
herren ,Men's
sex ,sex
waffen ,weapons
wohnung ,apartment
weh ,sore
heißen ,be called
krankenhaus ,hospital
bringe ,bring
höre ,listen
millionen ,millions
klasse ,class
hart ,hard
worden ,gone
sinn ,sense
außerdem ,aside from that
verletzt ,injured
ändern ,change
erfahren ,experience
tragen ,carry
wenigstens ,at least
vorsichtig ,cautious
daddy ,daddy
stolz ,proud
stark ,strong
fällt ,fall
möchtest ,want
leuten ,people
besonders ,particularly
schöne ,lovely
schicken ,send
person ,person
schätze ,appreciate
solange ,as long as
länger ,longer
großartig ,great
lacht ,laughs
anrufen ,call
stand ,was standing
redest ,speech
fühlen ,feel
erwartet ,expected
boden ,floor
boss ,boss
stimme ,agree
glaubt ,believes
still ,quiet
sicherheit ,security
setz ,setting
ma ,MA
mund ,mouth
kämpfen ,battle
wisst ,know
lachen ,laugh
hörst ,hear
zeug ,things
lustig ,funny
umbringen ,kill
sollst ,thorough
hasse ,hate
schlimm ,terrible
o ,O
unglaublich ,incredible
wärst ,be
laden ,load
führen ,lead
gestorben ,died
schauen ,look
meinung ,opinion
lesen ,read
mörder ,murderer
frank ,frank
ähm ,um
geschehen ,happen
geschäft ,business
idiot ,idiot
verzeihung ,forgiveness
fliegen ,fly
zeig ,show
team ,team
general ,general
mike ,Mike
aufs ,onto
york ,York
vorher ,previously
schluss ,ending
schneller ,more quickly
liebt ,loved
verdient ,earned
mögen ,like
meisten ,most
denk ,think
umgebracht ,killed
perfekt ,perfect
versprochen ,promised
handy ,mobile
hinten ,rear
monate ,months
erinnere ,remind
acht ,eight
arbeitet ,is working
fallen ,fall
rufe ,calls
nötig ,necessary
a ,A
mord ,murder
heraus ,out of here
tages ,day
unmöglich ,impossible
liebling ,darling
charlie ,Charlie
tatsächlich ,actually
folgen ,consequences
bitten ,ask
behalten ,keep
nähe ,vicinity
arbeite ,work
joe ,Joe
verdammte ,damn
plötzlich ,suddenly
lebens ,life
hole ,hole
tisch ,table
michael ,Michael
hörte ,heard
jemals ,ever
liegen ,lay
verkaufen ,sell
gefährlich ,dangerous
anfangen ,begin
bekommt ,receives
machte ,made
ha ,Ha
hotel ,hotel
hilft ,helps
werdet ,become
meister ,master
kampf ,battle
antwort ,answer
konnten ,could
geschickt ,sent
jedem ,each
obwohl ,although
sieben ,seven
komisch ,funny
gewinnen ,win
ihres ,hers
bezahlt ,paid
you ,You
voller ,full of
unterwegs ,on the way
dumm ,dumb
ärger ,aggravation
bild ,picture
george ,George
neu ,new
bezahlen ,pay
dagegen ,against it
seien ,be
starb ,died
tom ,Tom
monaten ,months
leiche ,corpse
niemanden ,nobody
auge ,eye
arschloch ,asshole
verheiratet ,married
peter ,Peter
zieh ,pull
nimmt ,takes
gerettet ,rescued
agent ,agent
traum ,dream
entscheidung ,decision
schlimmer ,worse
regeln ,regulate
fenster ,window
fangen ,catch
fort ,on
ständig ,constant
findest ,find
gefahr ,danger
absolut ,absolutely
mary ,Mary
augenblick ,moment
bescheid ,notice
rum ,rum
gedanken ,thoughts
werd ,werry
ziel ,goal
benutzt ,used
bewegung ,movement
jemandem ,someone
wünschte ,wish
worte ,words
kamen ,came
welcher ,which